,valores_combo,niveles,valor_split,num_models,num_models2,niveles_mediana,niveles_std,num_models_mediana,num_models_std,num_models2_mediana,num_models2_std,cycles_mean,cycles_median,cycles_std,max_num_cycles,max_num_models
24,alpha12-split20,"3, 4, 5, 6, 7, 8",20,123,164,"3, 4, 5, 6, 7, 8","5, 6, 7, 8",123,205,164,246,3,3,5,5,205
25,alpha12-split22,"3, 4, 5, 6, 7",22,135,180,"3, 4, 5, 6, 7","2, 3, 4, 5, 6, 7",135,90,180,135,3,3,2,3,135
26,alpha12-split24,"3, 4, 5, 6, 7",24,147,196,"2, 3, 4, 5, 6, 7","5, 6, 7",98,245,147,294,3,2,5,5,245
27,alpha12-split26,"4, 5, 6",26,212,265,"4, 5, 6","3, 4, 5, 6",212,159,265,212,4,4,3,4,212
28,alpha12-split28,"4, 5, 6",28,228,285,"3, 4, 5, 6","3, 4, 5, 6",171,171,228,228,4,3,3,4,228
29,alpha12-split30,"3, 4, 5",30,183,244,"3, 4, 5","1, 2, 3, 4, 5",183,61,244,122,3,3,1,3,183
30,alpha12-split4,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,72,81,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",63,27,72,36,8,7,3,8,72
31,alpha12-split6,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,91,104,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",104,52,117,65,7,8,4,8,104
32,alpha12-split8,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,85,102,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",85,68,102,85,5,5,4,5,85
33,alpha14-split1,"29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,87,90,"25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",75,12,78,15,29,25,4,29,87
