,n_ensemble,weights,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
1506,150,N2,0.958008658008658,0.0083270060873036,0.9748917748917748,0.0039320134468798,0.974025974025974,0.0066714437261569,0.9748917748917748,0.0090028720099937,0.9748917748917748,0.0074353091070639,0.9761904761904764,0.0076526707920622,0.9757575757575758,0.0075602810374775,0.9766233766233766,0.0067413036806915,0.9744588744588744,0.0070802715297818,0.9753246753246751,0.0077439583636356
1996,199,N2,0.9575757575757576,0.0092594154269296,0.9748917748917748,0.004488407219335,0.9748917748917748,0.0072760763263946,0.9744588744588744,0.0091063566960877,0.9753246753246751,0.0071132799675995,0.9761904761904764,0.0076526707920622,0.9761904761904764,0.0063105539987503,0.9770562770562772,0.0066008444510722,0.9744588744588744,0.0070802715297818,0.9753246753246751,0.0083270060873036
157,15,TD_U,0.9588744588744588,0.0120514380147836,0.9744588744588744,0.0072438097535418,0.971861471861472,0.0076526707920622,0.971861471861472,0.0082421786859999,0.9735930735930736,0.0067413036806915,0.9696969696969696,0.0050762075322764,0.9692640692640692,0.0093600642036535,0.967965367965368,0.0023710933225331,0.9696969696969696,0.0100363836531339,0.9735930735930736,0.0080115824776284
507,50,TD_U,0.9619047619047618,0.0072760763263946,0.9761904761904764,0.0045916024752373,0.974025974025974,0.0059277333063329,0.9722943722943724,0.0069128655509399,0.9727272727272728,0.0084664966301333,0.9731601731601732,0.0062358702557956,0.9744588744588744,0.0069128655509399,0.9722943722943724,0.0051676780893131,0.9731601731601732,0.0087388005360114,0.9753246753246751,0.0047421866450663
1007,100,TD_U,0.9653679653679652,0.0083830808359467,0.9757575757575758,0.0041635030436518,0.9727272727272728,0.0056443310867555,0.9714285714285716,0.0070802715297818,0.9744588744588744,0.0067413036806915,0.9727272727272728,0.0056443310867555,0.9748917748917748,0.0064209510710784,0.9722943722943724,0.0058079687727267,0.974025974025974,0.0098002003659496,0.9753246753246751,0.0049830581961997
1507,150,TD_U,0.9645021645021644,0.0088718188449866,0.9748917748917748,0.0054328573151563,0.974025974025974,0.0061221366336497,0.9727272727272728,0.0064209510710785,0.9744588744588744,0.0056026749374652,0.974025974025974,0.0055184193870051,0.9735930735930736,0.0063843641574686,0.9722943722943724,0.0060062497513037,0.9735930735930736,0.0087119531590901,0.9748917748917748,0.0054328573151563
1997,199,TD_U,0.9645021645021644,0.0111003302207429,0.9748917748917748,0.004488407219335,0.9731601731601732,0.0047421866450663,0.9727272727272728,0.0064209510710785,0.9744588744588744,0.007713649212643,0.974025974025974,0.0055184193870051,0.9744588744588744,0.0067413036806915,0.9722943722943724,0.0058079687727267,0.9744588744588744,0.007713649212643,0.9766233766233766,0.0051676780893131
158,15,Uniform,0.9748917748917748,0.0060451255600731,0.9744588744588744,0.0051676780893131,0.9731601731601732,0.0072760763263946,0.9722943722943724,0.0060062497513037,0.9727272727272728,0.0091320446362463,0.9714285714285716,0.0074037365266177,0.9714285714285712,0.0067413036806915,0.9709956709956712,0.0064209510710785,0.9735930735930736,0.0074037365266178,0.9727272727272728,0.0058481628078382
508,50,Uniform,0.9753246753246751,0.0052128115059707,0.9744588744588744,0.0061981909364832,0.9727272727272728,0.0036219048767708,0.9753246753246751,0.0069466694960524,0.9766233766233766,0.0056026749374652,0.9722943722943724,0.0082988266288661,0.9727272727272728,0.0080407686671024,0.9731601731601732,0.0060451255600731,0.9757575757575758,0.0056026749374653,0.9735930735930736,0.0082988266288661
1008,100,Uniform,0.9761904761904764,0.0055184193870052,0.9753246753246751,0.0072760763263946,0.974025974025974,0.0061221366336497,0.9744588744588744,0.0060062497513037,0.974025974025974,0.0071788415375658,0.9735930735930736,0.0065652601247199,0.9744588744588744,0.0085764557385969,0.9727272727272728,0.0066008444510722,0.9748917748917748,0.0049830581961997,0.9753246753246751,0.0062358702557956
1508,150,Uniform,0.9753246753246751,0.0062358702557956,0.9744588744588744,0.0074037365266178,0.9735930735930736,0.0063843641574686,0.974025974025974,0.0064935064935065,0.9744588744588744,0.0067413036806915,0.9731601731601732,0.0066008444510722,0.9731601731601732,0.0087388005360114,0.9722943722943724,0.0070802715297819,0.974025974025974,0.0071788415375658,0.9748917748917748,0.0058481628078381
1998,199,Uniform,0.9753246753246751,0.0072760763263946,0.974025974025974,0.0071788415375658,0.9753246753246751,0.0054328573151563,0.9753246753246751,0.0049830581961997,0.9744588744588744,0.0056026749374652,0.9735930735930736,0.0070802715297818,0.9731601731601732,0.0083270060873036,0.9731601731601732,0.0072760763263946,0.9727272727272728,0.0077439583636356,0.974025974025974,0.0061221366336497
159,15,kDN,0.9571428571428572,0.0106479427499989,0.9757575757575758,0.0038719791818178,0.967965367965368,0.0051676780893131,0.9662337662337664,0.0067759635681811,0.9670995670995672,0.0088453752128582,0.9666666666666666,0.0071132799675995,0.9709956709956712,0.0095090401023761,0.9658008658008658,0.0098478901870799,0.9692640692640692,0.007713649212643,0.967965367965368,0.0084387829825185
509,50,kDN,0.9571428571428572,0.0098478901870799,0.9735930735930736,0.0067413036806915,0.9688311688311688,0.0069466694960524,0.9696969696969696,0.0063105539987503,0.9727272727272728,0.0080407686671024,0.971861471861472,0.0071788415375658,0.9727272727272728,0.0044884072193349,0.971861471861472,0.0059277333063329,0.9727272727272728,0.0077439583636356,0.9705627705627704,0.0060451255600731
1009,100,kDN,0.9567099567099568,0.0108225108225108,0.9744588744588744,0.0070802715297819,0.967965367965368,0.0072438097535417,0.9705627705627704,0.0049830581961996,0.9722943722943724,0.0070802715297818,0.9688311688311688,0.0090028720099937,0.9735930735930736,0.0056026749374652,0.9714285714285716,0.0044359094224932,0.9714285714285712,0.0067413036806915,0.9696969696969696,0.0070137886346405
1509,150,kDN,0.9584415584415584,0.0106479427499989,0.9735930735930736,0.0075602810374775,0.9683982683982684,0.0069466694960524,0.9705627705627704,0.0066008444510722,0.9722943722943724,0.0065652601247199,0.9692640692640692,0.0092340818215157,0.9735930735930736,0.0046925288720084,0.9714285714285712,0.0056026749374652,0.9714285714285716,0.0035566399837997,0.9709956709956712,0.0062358702557956
1999,199,kDN,0.958008658008658,0.0105595765520783,0.974025974025974,0.0073401839644213,0.9692640692640692,0.0075602810374774,0.97012987012987,0.0063843641574686,0.9727272727272728,0.0058481628078382,0.9683982683982684,0.0081851387018134,0.9727272727272728,0.0044884072193349,0.9727272727272728,0.0044884072193349,0.9722943722943724,0.0060062497513037,0.9709956709956712,0.0056443310867555
