dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
saheart.csv,1,10,AdaBoost,None,auc,0.5735887096774194,"[array([[22,  9],
       [ 9,  7]])]"
saheart.csv,1,10,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 2.0]",acc,0.7021276595744681,"[array([[24,  7],
       [ 7,  9]])]"
saheart.csv,1,10,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 2.0]",f1,0.6632087788010304,"[array([[26,  5],
       [10,  6]])]"
saheart.csv,1,10,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 2.0]",auc,0.6381048387096775,"[array([[26,  5],
       [ 9,  7]])]"
saheart.csv,1,10,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",acc,0.7446808510638298,"[array([[27,  4],
       [ 8,  8]])]"
saheart.csv,1,10,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",f1,0.6898774983881366,"[array([[26,  5],
       [ 9,  7]])]"
saheart.csv,1,10,Incremental_Mixed_Bagging,"[[-1.0, 1.0]]",auc,0.7016129032258064,"[array([[28,  3],
       [ 8,  8]])]"
saheart.csv,2,10,base,None,acc,0.5869565217391305,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,2,10,base,None,f1,0.5937888198757765,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,2,10,base,None,auc,0.5666666666666667,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,2,10,wagging,None,acc,0.5869565217391305,"[array([[23,  7],
       [12,  4]])]"
saheart.csv,2,10,wagging,None,f1,0.5645980428589125,"[array([[23,  7],
       [12,  4]])]"
saheart.csv,2,10,wagging,None,auc,0.5083333333333333,"[array([[23,  7],
       [12,  4]])]"
saheart.csv,2,10,AdaBoost,None,acc,0.6086956521739131,"[array([[20, 10],
       [ 8,  8]])]"
saheart.csv,2,10,AdaBoost,None,f1,0.6134579768939059,"[array([[20, 10],
       [ 8,  8]])]"
saheart.csv,2,10,AdaBoost,None,auc,0.5833333333333334,"[array([[20, 10],
       [ 8,  8]])]"
saheart.csv,2,10,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 3.0]",acc,0.6739130434782609,"[array([[26,  4],
       [11,  5]])]"
saheart.csv,2,10,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 1.0]",f1,0.6104298278211321,"[array([[24,  6],
       [11,  5]])]"
saheart.csv,2,10,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 1.0]",auc,0.6520833333333333,"[array([[26,  4],
       [ 9,  7]])]"
saheart.csv,2,10,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",acc,0.6521739130434783,"[array([[25,  5],
       [11,  5]])]"
saheart.csv,2,10,Incremental_Mixed_Bagging,"[[-2.0, 2.0]]",f1,0.6278504104591062,"[array([[25,  5],
       [11,  5]])]"
saheart.csv,2,10,Incremental_Mixed_Bagging,"[[-2.0, 2.0]]",auc,0.5895833333333333,"[array([[26,  4],
       [11,  5]])]"
saheart.csv,3,10,base,None,acc,0.6739130434782609,"[array([[23,  7],
       [ 8,  8]])]"
saheart.csv,3,10,base,None,f1,0.6713264203435036,"[array([[23,  7],
       [ 8,  8]])]"
saheart.csv,3,10,base,None,auc,0.6333333333333333,"[array([[23,  7],
       [ 8,  8]])]"
saheart.csv,3,10,wagging,None,acc,0.6739130434782609,"[array([[28,  2],
       [13,  3]])]"
saheart.csv,3,10,wagging,None,f1,0.6137695739655323,"[array([[28,  2],
       [13,  3]])]"
saheart.csv,3,10,wagging,None,auc,0.5604166666666667,"[array([[28,  2],
       [13,  3]])]"
saheart.csv,3,10,AdaBoost,None,acc,0.6956521739130435,"[array([[23,  7],
       [ 7,  9]])]"
saheart.csv,3,10,AdaBoost,None,f1,0.6956521739130435,"[array([[23,  7],
       [ 7,  9]])]"
saheart.csv,3,10,AdaBoost,None,auc,0.6645833333333333,"[array([[23,  7],
       [ 7,  9]])]"
saheart.csv,3,10,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 1.0]",acc,0.7391304347826086,"[array([[27,  3],
       [ 9,  7]])]"
saheart.csv,3,10,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 1.0]",f1,0.5980012978585334,"[array([[25,  5],
       [12,  4]])]"
saheart.csv,3,10,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 1.0]",auc,0.6062500000000001,"[array([[27,  3],
       [11,  5]])]"
saheart.csv,3,10,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",acc,0.6739130434782609,"[array([[25,  5],
       [10,  6]])]"
saheart.csv,3,10,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",f1,0.6743691091517178,"[array([[26,  4],
       [10,  6]])]"
saheart.csv,3,10,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",auc,0.7000000000000001,"[array([[27,  3],
       [ 8,  8]])]"
saheart.csv,4,10,base,None,acc,0.6086956521739131,"[array([[18, 12],
       [ 6, 10]])]"
saheart.csv,4,10,base,None,f1,0.6178489702517161,"[array([[18, 12],
       [ 6, 10]])]"
saheart.csv,4,10,base,None,auc,0.6125,"[array([[18, 12],
       [ 6, 10]])]"
saheart.csv,4,10,wagging,None,acc,0.6304347826086957,"[array([[23,  7],
       [10,  6]])]"
saheart.csv,4,10,wagging,None,f1,0.6201185121724851,"[array([[23,  7],
       [10,  6]])]"
saheart.csv,4,10,wagging,None,auc,0.5708333333333333,"[array([[23,  7],
       [10,  6]])]"
saheart.csv,4,10,AdaBoost,None,acc,0.5869565217391305,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,4,10,AdaBoost,None,f1,0.5937888198757765,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,4,10,AdaBoost,None,auc,0.5666666666666667,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,4,10,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 1.0]",acc,0.5869565217391305,"[array([[22,  8],
       [11,  5]])]"
