,Dataset,alpha,split,weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Table
31432,ilpd,8,4,LSC,0.7283121597096189,0.7287658802177859,0.0036776766537854,0.728 (0.004)
2120,ilpd,6,6,N1,0.7202980227337855,0.7202056866303691,0.0074078147467342,0.72 (0.007)
13767,ilpd,2,4,N2,0.722557073263922,0.7253176043557168,0.0089246557385899,0.723 (0.009)
538,ilpd,4,1,TD_U,0.7244977234374502,0.725287356321839,0.0057804520767257,0.724 (0.006)
14678,ilpd,2,8,kDN,0.7233180501162162,0.7235632183908046,0.0060510929035742,0.723 (0.006)
42759,ionosphere,6,8,CLD,0.9264452798663324,0.9286507936507936,0.0044257115723517,0.926 (0.004)
50239,ionosphere,8,8,DCP,0.9249289891395154,0.9257936507936508,0.0036605473893445,0.925 (0.004)
63731,ionosphere,4,1,F1,0.9263324979114452,0.9258730158730156,0.0023713178005726,0.926 (0.002)
63732,ionosphere,4,1,Hostility,0.9257351712614872,0.925952380952381,0.0056527676551082,0.926 (0.006)
64471,ionosphere,2,1,LSC,0.9290852130325812,0.9286507936507936,0.002535734423064,0.929 (0.003)
42764,ionosphere,6,8,N1,0.9279657477025898,0.9287301587301586,0.0039029198819734,0.928 (0.004)
9789,ionosphere,6,1,N2,0.9319799498746868,0.9315873015873016,0.004937919355964,0.932 (0.005)
9790,ionosphere,6,1,TD_U,0.9313700918964076,0.9315079365079364,0.003596117106927,0.931 (0.004)
48239,ionosphere,8,2,kDN,0.926315789473684,0.9258730158730156,0.0019430160303271,0.926 (0.002)
43020,liver-disorders,6,2,CLD,0.755764411027569,0.7595238095238095,0.0124650124981703,0.756 (0.012)
35263,liver-disorders,6,8,DCP,0.7711027568922306,0.7671428571428571,0.0121291577786641,0.771 (0.012)
47990,liver-disorders,8,1,F1,0.7623809523809524,0.7604761904761904,0.0071021769273641,0.762 (0.007)
58917,liver-disorders,10,8,Hostility,0.7680200501253133,0.7738095238095238,0.0095677072419068,0.768 (0.01)
4054,liver-disorders,10,1,LSC,0.7782205513784461,0.780952380952381,0.0054959205312526,0.778 (0.005)
4190,liver-disorders,6,1,N1,0.7641854636591479,0.7604761904761904,0.0069815632873453,0.764 (0.007)
4191,liver-disorders,6,1,N2,0.766516290726817,0.7671428571428571,0.0084411806432528,0.767 (0.008)
40453,liver-disorders,8,4,TD_U,0.7618045112781955,0.76,0.0120974656818116,0.762 (0.012)
17063,liver-disorders,8,6,kDN,0.7555639097744361,0.7604761904761904,0.0119005840622381,0.756 (0.012)
58833,mammographic,6,1,CLD,0.8038046924540266,0.8048192771084338,0.0039810351432003,0.804 (0.004)
9451,mammographic,2,1,DCP,0.8088142041851617,0.8072289156626506,0.0048033980632607,0.809 (0.005)
38513,mammographic,10,1,F1,0.8004438807863031,0.8,0.0025147915291699,0.8 (0.003)
58836,mammographic,6,1,Hostility,0.8031705770450223,0.8048192771084338,0.004511785475464,0.803 (0.005)
15961,mammographic,8,1,LSC,0.8093849080532657,0.8096385542168674,0.0018655881770125,0.809 (0.002)
38516,mammographic,10,1,N1,0.8070386810399492,0.8072289156626506,0.0030654741826941,0.807 (0.003)
38517,mammographic,10,1,N2,0.8083069118579582,0.808433734939759,0.002720709010307,0.808 (0.003)
66814,mammographic,10,2,TD_U,0.7979708306911858,0.7975903614457831,0.0028695230626159,0.798 (0.003)
15965,mammographic,8,1,kDN,0.8048192771084338,0.8048192771084338,0.0032872902698282,0.805 (0.003)
54054,musk1,4,4,CLD,0.8865341545352744,0.8865691489361701,0.0035877667651403,0.887 (0.004)
28387,musk1,10,6,DCP,0.8916176745054124,0.8928191489361701,0.0055093255070105,0.892 (0.006)
58025,musk1,4,8,F1,0.8900989175065324,0.8906471631205675,0.0066424023998644,0.89 (0.007)
43383,musk1,10,8,Hostility,0.889002426278462,0.8886968085106384,0.0060095422955034,0.889 (0.006)
9931,musk1,6,2,LSC,0.8897559723777528,0.8927304964539007,0.0077088431735575,0.89 (0.008)
16007,musk1,6,8,N1,0.8831210339678985,0.882313829787234,0.0066492575924963,0.883 (0.007)
66921,musk1,8,4,N2,0.8894363568495707,0.8907801418439716,0.0073375224073821,0.889 (0.007)
31723,musk1,8,8,TD_U,0.8871803844718178,0.8906914893617021,0.0069172386418442,0.887 (0.007)
5165,musk1,2,1,kDN,0.8835782941396042,0.8864804964539006,0.0072910546427626,0.884 (0.007)
1989,parkinsons,10,8,CLD,0.9045706371191136,0.903157894736842,0.0037125171200335,0.905 (0.004)
10153,parkinsons,6,8,DCP,0.9080470914127424,0.9086842105263158,0.0047960206758765,0.908 (0.005)
28847,parkinsons,4,4,F1,0.9075900277008312,0.908421052631579,0.0035385394731104,0.908 (0.004)
18462,parkinsons,2,6,Hostility,0.9047091412742382,0.9034210526315788,0.0055088101580149,0.905 (0.006)
18463,parkinsons,2,6,LSC,0.9059279778393352,0.9086842105263158,0.0052061003863825,0.906 (0.005)
9320,parkinsons,6,2,N1,0.9092797783933516,0.908421052631579,0.0062986134044882,0.909 (0.006)
