Dataset,n_trees,model,accuracy_mean,accuracy_std
ionosphere,180,Grouped_Mixed_Bagging,0.925952380952381,0.0360644212377504
ionosphere,180,Incremental_Mixed_Bagging,0.923095238095238,0.048614593331707
ionosphere,185,Grouped_Mixed_Bagging,0.9202380952380952,0.0421345611061389
ionosphere,185,Incremental_Mixed_Bagging,0.9316666666666666,0.0488472560311089
ionosphere,190,Grouped_Mixed_Bagging,0.925952380952381,0.0450140651572411
ionosphere,190,Incremental_Mixed_Bagging,0.9174603174603174,0.0473005219865121
ionosphere,195,Grouped_Mixed_Bagging,0.925952380952381,0.0429518354239808
ionosphere,195,Incremental_Mixed_Bagging,0.9288095238095238,0.0385954265929613
ionosphere,200,Grouped_Mixed_Bagging,0.925952380952381,0.0429518354239808
ionosphere,200,Incremental_Mixed_Bagging,0.925952380952381,0.0469858697660472
ionosphere,205,Grouped_Mixed_Bagging,0.9202380952380952,0.0399238693504944
ionosphere,205,Incremental_Mixed_Bagging,0.925952380952381,0.0450140651572411
ionosphere,210,Grouped_Mixed_Bagging,0.923095238095238,0.0426516236236374
ionosphere,210,Incremental_Mixed_Bagging,0.925952380952381,0.0469858697660473
ionosphere,215,Grouped_Mixed_Bagging,0.925952380952381,0.0450140651572411
ionosphere,215,Incremental_Mixed_Bagging,0.9316666666666666,0.0360224797538849
ionosphere,220,Grouped_Mixed_Bagging,0.9174603174603174,0.0473005219865121
ionosphere,220,Incremental_Mixed_Bagging,0.923095238095238,0.038162143628853
ionosphere,225,Grouped_Mixed_Bagging,0.9288095238095238,0.0430397344935571
ionosphere,225,Incremental_Mixed_Bagging,0.923095238095238,0.0426516236236374
ionosphere,230,Grouped_Mixed_Bagging,0.9173809523809524,0.0435286892474828
ionosphere,230,Incremental_Mixed_Bagging,0.925952380952381,0.0407854664138725
ionosphere,235,Grouped_Mixed_Bagging,0.9202380952380952,0.044234908559853
ionosphere,235,Incremental_Mixed_Bagging,0.923095238095238,0.0426516236236374
ionosphere,240,Grouped_Mixed_Bagging,0.923095238095238,0.035706348324319
ionosphere,240,Incremental_Mixed_Bagging,0.923095238095238,0.0522129339933169
ionosphere,245,Grouped_Mixed_Bagging,0.9173809523809524,0.0435286892474828
ionosphere,245,Incremental_Mixed_Bagging,0.923095238095238,0.0467115915926191
ionosphere,250,Grouped_Mixed_Bagging,0.925952380952381,0.0360644212377504
ionosphere,250,Incremental_Mixed_Bagging,0.923095238095238,0.0522129339933169
ionosphere,255,Grouped_Mixed_Bagging,0.925952380952381,0.0450140651572411
ionosphere,255,Incremental_Mixed_Bagging,0.9288095238095238,0.0489554535506588
ionosphere,260,Grouped_Mixed_Bagging,0.9288095238095238,0.0385954265929613
ionosphere,260,Incremental_Mixed_Bagging,0.9231746031746032,0.04240205170048
ionosphere,265,Grouped_Mixed_Bagging,0.925952380952381,0.0450140651572411
ionosphere,265,Incremental_Mixed_Bagging,0.923095238095238,0.038162143628853
ionosphere,270,Grouped_Mixed_Bagging,0.923095238095238,0.0467115915926191
ionosphere,270,Incremental_Mixed_Bagging,0.925952380952381,0.0574117351403144
ionosphere,275,Grouped_Mixed_Bagging,0.9173809523809524,0.0341924436804024
ionosphere,275,Incremental_Mixed_Bagging,0.923095238095238,0.0426516236236374
ionosphere,280,Grouped_Mixed_Bagging,0.925952380952381,0.0407854664138726
ionosphere,280,Incremental_Mixed_Bagging,0.923095238095238,0.0426516236236374
ionosphere,285,Grouped_Mixed_Bagging,0.9288888888888888,0.0487278320110473
ionosphere,285,Incremental_Mixed_Bagging,0.9288095238095238,0.0489554535506588
ionosphere,290,Grouped_Mixed_Bagging,0.9288095238095238,0.0430397344935571
ionosphere,290,Incremental_Mixed_Bagging,0.923095238095238,0.0467115915926191
ionosphere,295,Grouped_Mixed_Bagging,0.9231746031746032,0.0483957815877066
ionosphere,295,Incremental_Mixed_Bagging,0.925952380952381,0.0429518354239808
ionosphere,300,Grouped_Mixed_Bagging,0.926031746031746,0.0447720353277834
ionosphere,300,Incremental_Mixed_Bagging,0.925952380952381,0.0506999383535639
vehicle2,5,Grouped_Mixed_Bagging,0.9739915966386554,0.0122301426111685
vehicle2,5,Incremental_Mixed_Bagging,0.9739915966386554,0.0165330780679671
vehicle2,10,Grouped_Mixed_Bagging,0.9739635854341736,0.013505456668154
vehicle2,10,Incremental_Mixed_Bagging,0.9799019607843136,0.0137372755667912
vehicle2,15,Grouped_Mixed_Bagging,0.9739915966386554,0.0182991112461978
vehicle2,15,Incremental_Mixed_Bagging,0.9739635854341736,0.0214979227197878
vehicle2,20,Grouped_Mixed_Bagging,0.9727871148459384,0.01936401349636
vehicle2,20,Incremental_Mixed_Bagging,0.9775210084033612,0.0152339138662695
vehicle2,25,Grouped_Mixed_Bagging,0.9751400560224088,0.0180913074756884
vehicle2,25,Incremental_Mixed_Bagging,0.976358543417367,0.0184543319775695
vehicle2,30,Grouped_Mixed_Bagging,0.9787254901960784,0.0155654065180544
vehicle2,30,Incremental_Mixed_Bagging,0.9787254901960784,0.0206775957060654
vehicle2,35,Grouped_Mixed_Bagging,0.9775210084033612,0.0189221681669259
vehicle2,35,Incremental_Mixed_Bagging,0.9775490196078432,0.0188225949870333
vehicle2,40,Grouped_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,40,Incremental_Mixed_Bagging,0.9787254901960784,0.0182908196391287
vehicle2,45,Grouped_Mixed_Bagging,0.976344537815126,0.0184842646530752
vehicle2,45,Incremental_Mixed_Bagging,0.9787254901960784,0.0182908196391287
vehicle2,50,Grouped_Mixed_Bagging,0.976330532212885,0.0176848113363189
vehicle2,50,Incremental_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,55,Grouped_Mixed_Bagging,0.9739635854341736,0.0191749431270757
vehicle2,55,Incremental_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,60,Grouped_Mixed_Bagging,0.976344537815126,0.0184842646530752
vehicle2,60,Incremental_Mixed_Bagging,0.9763585434173668,0.0176012774462176
vehicle2,65,Grouped_Mixed_Bagging,0.9787114845938376,0.0155796194047451
vehicle2,65,Incremental_Mixed_Bagging,0.9787254901960784,0.0182908196391287
vehicle2,70,Grouped_Mixed_Bagging,0.9763585434173668,0.0176012774462176
vehicle2,70,Incremental_Mixed_Bagging,0.9775490196078432,0.0188225949870333
vehicle2,75,Grouped_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,75,Incremental_Mixed_Bagging,0.9787254901960784,0.0182908196391287
vehicle2,80,Grouped_Mixed_Bagging,0.9751540616246498,0.0180209285745293
vehicle2,80,Incremental_Mixed_Bagging,0.9799159663865546,0.0193265131756083
vehicle2,85,Grouped_Mixed_Bagging,0.9751540616246498,0.0180209285745293
vehicle2,85,Incremental_Mixed_Bagging,0.9787254901960784,0.0191323851671521
vehicle2,90,Grouped_Mixed_Bagging,0.9751540616246498,0.0196911661644134
vehicle2,90,Incremental_Mixed_Bagging,0.9751540616246498,0.0196911661644134
vehicle2,95,Grouped_Mixed_Bagging,0.9751540616246498,0.0180209285745293
vehicle2,95,Incremental_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,100,Grouped_Mixed_Bagging,0.9775210084033612,0.016234722381305
vehicle2,100,Incremental_Mixed_Bagging,0.9787254901960784,0.0182908196391287
vehicle2,105,Grouped_Mixed_Bagging,0.9775210084033612,0.0189221681669259
vehicle2,105,Incremental_Mixed_Bagging,0.976344537815126,0.0176117563193396
vehicle2,110,Grouped_Mixed_Bagging,0.9739775910364143,0.019953469766652
vehicle2,110,Incremental_Mixed_Bagging,0.9799019607843136,0.0158185821740506
vehicle2,115,Grouped_Mixed_Bagging,0.9787254901960784,0.0191323851671521
vehicle2,115,Incremental_Mixed_Bagging,0.9787254901960784,0.0182908196391287
vehicle2,120,Grouped_Mixed_Bagging,0.9787254901960784,0.0182908196391287
vehicle2,120,Incremental_Mixed_Bagging,0.9787254901960784,0.0182908196391287
vehicle2,125,Grouped_Mixed_Bagging,0.9787254901960784,0.0191323851671521
vehicle2,125,Incremental_Mixed_Bagging,0.9799159663865546,0.0193265131756083
vehicle2,130,Grouped_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,130,Incremental_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,135,Grouped_Mixed_Bagging,0.9787254901960784,0.0182908196391287
vehicle2,135,Incremental_Mixed_Bagging,0.9787254901960784,0.0191323851671521
vehicle2,140,Grouped_Mixed_Bagging,0.9787254901960784,0.0182908196391287
vehicle2,140,Incremental_Mixed_Bagging,0.9799159663865546,0.0193265131756083
vehicle2,145,Grouped_Mixed_Bagging,0.9751540616246498,0.0196911661644134
vehicle2,145,Incremental_Mixed_Bagging,0.976344537815126,0.0176117563193396
vehicle2,150,Grouped_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,150,Incremental_Mixed_Bagging,0.9799159663865546,0.0193265131756083
vehicle2,155,Grouped_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,155,Incremental_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,160,Grouped_Mixed_Bagging,0.9751540616246498,0.0196911661644134
vehicle2,160,Incremental_Mixed_Bagging,0.976344537815126,0.0176117563193396
vehicle2,165,Grouped_Mixed_Bagging,0.9751540616246498,0.0196911661644134
vehicle2,165,Incremental_Mixed_Bagging,0.976344537815126,0.0184842646530752
vehicle2,170,Grouped_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,170,Incremental_Mixed_Bagging,0.9787254901960784,0.0191323851671521
vehicle2,175,Grouped_Mixed_Bagging,0.9751540616246498,0.0196911661644134
vehicle2,175,Incremental_Mixed_Bagging,0.9799019607843136,0.0158185821740506
vehicle2,180,Grouped_Mixed_Bagging,0.9799159663865546,0.0193265131756083
vehicle2,180,Incremental_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,185,Grouped_Mixed_Bagging,0.9787254901960784,0.0182908196391287
vehicle2,185,Incremental_Mixed_Bagging,0.9799159663865546,0.0193265131756083
vehicle2,190,Grouped_Mixed_Bagging,0.9787254901960784,0.0191323851671521
vehicle2,190,Incremental_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,195,Grouped_Mixed_Bagging,0.9775350140056024,0.0196704571386477
vehicle2,195,Incremental_Mixed_Bagging,0.9775350140056024,0.0179982978588844
vehicle2,200,Grouped_Mixed_Bagging,0.9751540616246498,0.0196911661644134
vehicle2,200,Incremental_Mixed_Bagging,0.9799159663865546,0.0193265131756083
