dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
bands.csv,0,10,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 3.0]",f1,0.6501606501606502,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,0,10,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 3.0]",auc,0.734472049689441,"[array([[19,  4],
       [ 5,  9]])]"
bands.csv,0,10,Incremental_Mixed_Bagging,"[[0.0, 2.0]]",acc,0.7567567567567568,"[array([[20,  3],
       [ 6,  8]])]"
bands.csv,0,10,Incremental_Mixed_Bagging,"[[0.0, 2.0]]",f1,0.6956956956956957,"[array([[22,  1],
       [ 9,  5]])]"
bands.csv,0,10,Incremental_Mixed_Bagging,"[[0.0, 2.0]]",auc,0.6133540372670807,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,1,10,base,None,acc,0.5675675675675675,"[array([[15,  8],
       [ 8,  6]])]"
bands.csv,1,10,base,None,f1,0.5675675675675675,"[array([[15,  8],
       [ 8,  6]])]"
bands.csv,1,10,base,None,auc,0.5403726708074534,"[array([[15,  8],
       [ 8,  6]])]"
bands.csv,1,10,wagging,None,acc,0.7027027027027027,"[array([[20,  3],
       [ 8,  6]])]"
bands.csv,1,10,wagging,None,f1,0.6849611760097694,"[array([[20,  3],
       [ 8,  6]])]"
bands.csv,1,10,wagging,None,auc,0.6490683229813664,"[array([[20,  3],
       [ 8,  6]])]"
bands.csv,1,10,AdaBoost,None,acc,0.5945945945945946,"[array([[17,  6],
       [ 9,  5]])]"
bands.csv,1,10,AdaBoost,None,f1,0.5826806398234968,"[array([[17,  6],
       [ 9,  5]])]"
bands.csv,1,10,AdaBoost,None,auc,0.5481366459627329,"[array([[17,  6],
       [ 9,  5]])]"
bands.csv,1,10,Grouped_Mixed_Bagging,"[[0.0, 0.7, 0.3], 1.0]",acc,0.7297297297297297,"[array([[18,  5],
       [ 5,  9]])]"
bands.csv,1,10,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 2.0]",f1,0.6458799224756672,"[array([[17,  6],
       [ 7,  7]])]"
bands.csv,1,10,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 2.0]",auc,0.6055900621118013,"[array([[18,  5],
       [ 8,  6]])]"
bands.csv,1,10,Incremental_Mixed_Bagging,"[[-3.0, 4.0]]",acc,0.7837837837837838,"[array([[20,  3],
       [ 5,  9]])]"
bands.csv,1,10,Incremental_Mixed_Bagging,"[[-3.0, 4.0]]",f1,0.7995207483698532,"[array([[22,  1],
       [ 6,  8]])]"
bands.csv,1,10,Incremental_Mixed_Bagging,"[[-4.0, 3.0]]",auc,0.5916149068322981,"[array([[19,  4],
       [ 9,  5]])]"
bands.csv,2,10,base,None,acc,0.6486486486486487,"[array([[19,  4],
       [ 9,  5]])]"
bands.csv,2,10,base,None,f1,0.6276813898297274,"[array([[19,  4],
       [ 9,  5]])]"
bands.csv,2,10,base,None,auc,0.5916149068322981,"[array([[19,  4],
       [ 9,  5]])]"
bands.csv,2,10,wagging,None,acc,0.7297297297297297,"[array([[21,  2],
       [ 8,  6]])]"
bands.csv,2,10,wagging,None,f1,0.7084672084672083,"[array([[21,  2],
       [ 8,  6]])]"
bands.csv,2,10,wagging,None,auc,0.6708074534161491,"[array([[21,  2],
       [ 8,  6]])]"
bands.csv,2,10,AdaBoost,None,acc,0.6216216216216216,"[array([[19,  4],
       [10,  4]])]"
bands.csv,2,10,AdaBoost,None,f1,0.5918540918540919,"[array([[19,  4],
       [10,  4]])]"
bands.csv,2,10,AdaBoost,None,auc,0.5559006211180124,"[array([[19,  4],
       [10,  4]])]"
bands.csv,2,10,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",acc,0.7567567567567568,"[array([[22,  1],
       [ 8,  6]])]"
bands.csv,2,10,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",f1,0.7917729049804523,"[array([[23,  0],
       [ 7,  7]])]"
bands.csv,2,10,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",auc,0.6708074534161491,"[array([[21,  2],
       [ 8,  6]])]"
bands.csv,2,10,Incremental_Mixed_Bagging,"[[-6.0, 6.0]]",acc,0.7297297297297297,"[array([[21,  2],
       [ 8,  6]])]"
bands.csv,2,10,Incremental_Mixed_Bagging,"[[-6.0, 6.0]]",f1,0.7084672084672083,"[array([[21,  2],
       [ 8,  6]])]"
bands.csv,2,10,Incremental_Mixed_Bagging,"[[-6.0, 6.0]]",auc,0.5993788819875776,"[array([[21,  2],
       [10,  4]])]"
bands.csv,3,10,base,None,acc,0.7297297297297297,"[array([[20,  3],
       [ 7,  7]])]"
bands.csv,3,10,base,None,f1,0.718018018018018,"[array([[20,  3],
       [ 7,  7]])]"
bands.csv,3,10,base,None,auc,0.6847826086956522,"[array([[20,  3],
       [ 7,  7]])]"
bands.csv,3,10,wagging,None,acc,0.6486486486486487,"[array([[20,  3],
       [10,  4]])]"
bands.csv,3,10,wagging,None,f1,0.6132925378208396,"[array([[20,  3],
       [10,  4]])]"
bands.csv,3,10,wagging,None,auc,0.577639751552795,"[array([[20,  3],
       [10,  4]])]"
bands.csv,3,10,AdaBoost,None,acc,0.7837837837837838,"[array([[20,  3],
       [ 5,  9]])]"
bands.csv,3,10,AdaBoost,None,f1,0.7799722799722799,"[array([[20,  3],
       [ 5,  9]])]"
bands.csv,3,10,AdaBoost,None,auc,0.7562111801242235,"[array([[20,  3],
       [ 5,  9]])]"
bands.csv,3,10,Grouped_Mixed_Bagging,"[[0.1, 0.8, 0.1], 3.0]",acc,0.7027027027027027,"[array([[21,  2],
       [ 9,  5]])]"
bands.csv,3,10,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",f1,0.8052509652509653,"[array([[21,  2],
       [ 5,  9]])]"
bands.csv,3,10,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",auc,0.6708074534161491,"[array([[21,  2],
       [ 8,  6]])]"
bands.csv,3,10,Incremental_Mixed_Bagging,"[[-6.0, 6.0]]",acc,0.7027027027027027,"[array([[21,  2],
       [ 9,  5]])]"
bands.csv,3,10,Incremental_Mixed_Bagging,"[[-6.0, 6.0]]",f1,0.6501606501606502,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,3,10,Incremental_Mixed_Bagging,"[[-6.0, 6.0]]",auc,0.5636645962732919,"[array([[21,  2],
       [11,  3]])]"
bands.csv,4,10,base,None,acc,0.6486486486486487,"[array([[18,  5],
       [ 8,  6]])]"
bands.csv,4,10,base,None,f1,0.638323221180364,"[array([[18,  5],
       [ 8,  6]])]"
bands.csv,4,10,base,None,auc,0.6055900621118013,"[array([[18,  5],
       [ 8,  6]])]"
bands.csv,4,10,wagging,None,acc,0.6756756756756757,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,4,10,wagging,None,f1,0.6501606501606502,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,4,10,wagging,None,auc,0.6133540372670807,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,4,10,AdaBoost,None,acc,0.6216216216216216,"[array([[18,  5],
       [ 9,  5]])]"
bands.csv,4,10,AdaBoost,None,f1,0.6052252252252251,"[array([[18,  5],
       [ 9,  5]])]"
bands.csv,4,10,AdaBoost,None,auc,0.5698757763975156,"[array([[18,  5],
       [ 9,  5]])]"
