n_trees,model,accuracy_mean,accuracy_std,Dataset
150,Incremental_Mixed_Bagging,0.8120481927710843,0.0341719636725825,mammographic
200,Grouped_Mixed_Bagging,0.7963855421686747,0.0269106274180738,mammographic
200,Incremental_Mixed_Bagging,0.808433734939759,0.0374378190728398,mammographic
20,Grouped_Mixed_Bagging,0.8193548387096774,0.0666319715476544,vertebral_column
20,Incremental_Mixed_Bagging,0.8290322580645162,0.0714062697457376,vertebral_column
30,Grouped_Mixed_Bagging,0.8387096774193548,0.0744968089276936,vertebral_column
30,Incremental_Mixed_Bagging,0.832258064516129,0.0396539546550231,vertebral_column
50,Grouped_Mixed_Bagging,0.8193548387096774,0.0716487365546567,vertebral_column
50,Incremental_Mixed_Bagging,0.8129032258064516,0.0585009484246685,vertebral_column
100,Grouped_Mixed_Bagging,0.835483870967742,0.0578050755084542,vertebral_column
100,Incremental_Mixed_Bagging,0.8290322580645162,0.0482075521966879,vertebral_column
150,Grouped_Mixed_Bagging,0.8258064516129032,0.0700164326713965,vertebral_column
150,Incremental_Mixed_Bagging,0.835483870967742,0.0670643704495168,vertebral_column
200,Grouped_Mixed_Bagging,0.835483870967742,0.0751919730625681,vertebral_column
200,Incremental_Mixed_Bagging,0.8258064516129032,0.0573028498687063,vertebral_column
20,Grouped_Mixed_Bagging,0.8932971014492754,0.0715952887874256,chatfield_4
20,Incremental_Mixed_Bagging,0.9019927536231884,0.0757673391995146,chatfield_4
30,Grouped_Mixed_Bagging,0.8893115942028984,0.0648217220092082,chatfield_4
30,Incremental_Mixed_Bagging,0.9019927536231884,0.0736440215652069,chatfield_4
50,Grouped_Mixed_Bagging,0.8936594202898551,0.0614819119457991,chatfield_4
50,Incremental_Mixed_Bagging,0.8809782608695652,0.0779104866712263,chatfield_4
100,Grouped_Mixed_Bagging,0.8976449275362318,0.0742004551385398,chatfield_4
100,Incremental_Mixed_Bagging,0.8891304347826086,0.0715359278305039,chatfield_4
150,Grouped_Mixed_Bagging,0.9103260869565216,0.0749534558836635,chatfield_4
150,Incremental_Mixed_Bagging,0.884963768115942,0.081743971559223,chatfield_4
200,Grouped_Mixed_Bagging,0.8978260869565217,0.0650785783397641,chatfield_4
200,Incremental_Mixed_Bagging,0.8978260869565217,0.0650785783397641,chatfield_4
20,Grouped_Mixed_Bagging,0.755,0.0195789002074512,credit-g
20,Incremental_Mixed_Bagging,0.749,0.0242441287279575,credit-g
30,Grouped_Mixed_Bagging,0.764,0.0211869981094276,credit-g
30,Incremental_Mixed_Bagging,0.747,0.0279085809185793,credit-g
50,Grouped_Mixed_Bagging,0.755,0.0263523138347365,credit-g
