y,dataset,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
0,bands,0.191304347826087,0.298260869565217,0.553177257525084,0.36986301369863,0.600790513833992,,0,0.579908675799087,0.352926779594067,0.198633540372671,0.395000871958936,0.987298272261249,0.722435774491346,0.00434782608695652,0.987353497164461,0.752860411899314,0,0.770569578988296,0.981649832008157
1,bands,0.525925925925926,0.488888888888889,0.749287749287749,0.63013698630137,0.701683501683502,,0.413043478260869,0.753424657534247,0.648894607068424,0.409647266313933,0.475277869182219,0.991044776119403,0.717315857223834,0.00740740740740741,0.991111111111111,0.74541910331384,0,0.766493646011918,0.975130341125735
dataset,bands,0.315068493150685,0.368767123287671,0.625711275026344,0.466128729592794,0.638107098381071,,0.15276950565813,0.644085819728529,0.462394332221569,0.276679712981083,0.424692364082616,0.98868396546906,0.720542106460897,0.00547945205479452,0.988743299583085,0.750108147080029,0,0.769062042134019,0.979238513462604
0,banknote_authentication,0,0.0047244094488189,0.366834354039078,0.00384482508858505,0.630483689538808,0.601612298462692,0,0.629737609329446,0.186999380612006,0.0026246719160105,0.104799809057407,0.842709378804653,0.773321084581859,0.00131233595800525,0.842915796942705,0.82250656167979,0.640369474346824,0.77984321371589,0.911875625335376
1,banknote_authentication,0,0,0.528066180935033,0.00480287986475708,0.700468384074941,0.623185011709602,0.199475065616798,0.703595724003887,0.234130951950518,0.00191256830601093,0.101149417894325,0.866249427979219,0.817831482225971,0.00163934426229508,0.86646869121204,0.887704918032787,0.697338064052034,0.809977875479181,0.92350248670188
dataset,banknote_authentication,0,0.00262390670553936,0.438519058417018,0.00427078238702889,0.661599333610995,0.611203665139525,0.0886878936051361,0.66257540083922,0.207954379530732,0.00230806608357629,0.103176821732713,0.853175435653403,0.793110692863862,0.00145772594752187,0.853387564802978,0.85149416909621,0.665698074725963,0.793241277619394,0.917045002473544
0,breast-w,0.0305676855895196,0.0296943231441048,0.137899919793245,0.0346603967627964,0.508951965065502,0.614410480349345,0,0.563185503099666,0.0573732450608778,0.0303493449781659,0.0923480482414876,0.393658089113547,0.865811052016046,0.00218340611353712,0.39498197974867,0.342794759825327,0.666676443720953,0.707378155757096,0.850887981418756
1,breast-w,0.029045643153527,0.0854771784232365,0.792975696502667,0.0658691357566835,0.612448132780083,0.785892116182573,0.473799126637555,0.770147830233667,0.125868369181818,0.0882434301521438,0.341325983066763,0.867237206085754,0.681576870198175,0.004149377593361,0.867788089048054,0.616874135546335,0.597706630823154,0.746159254062178,0.936050163129559
dataset,breast-w,0.0300429184549356,0.0489270386266094,0.363755802750285,0.0454204913229205,0.544635193133047,0.673533619456366,0.163355635936553,0.634541613027126,0.0809888744072964,0.0503099666189795,0.178190226056783,0.556937870501675,0.802291112362102,0.00286123032904149,0.557995244900532,0.437291368621841,0.642897152006547,0.720749035144113,0.88025004979115
0,bupa,0.524137931034483,0.468965517241379,0.626206896551724,0.501617605831231,0.695019157088123,0.772413793103448,0.275,0.719806763285024,0.556837161156032,0.49264367816092,0.467060768237194,0.991091954022989,0.884843548814403,0.00689655172413793,0.99115338882283,0.959770114942529,0.685362747941288,0.800076018787876,0.936956704018298
